id,content_type,category_id,category_name,grade_id,grade_name,item,description
CCSS.ELA-LITERACY.L.K.1,ELA-LITERACY,L,Language,K,Kindergarten,1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
CCSS.ELA-LITERACY.L.K.1.a,ELA-LITERACY,L,Language,K,Kindergarten,1a,Print many upper- and lowercase letters.
CCSS.ELA-LITERACY.L.K.1.b,ELA-LITERACY,L,Language,K,Kindergarten,1b,Use frequently occurring nouns and verbs.
CCSS.ELA-LITERACY.L.K.1.c,ELA-LITERACY,L,Language,K,Kindergarten,1c,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes)."
CCSS.ELA-LITERACY.L.K.1.d,ELA-LITERACY,L,Language,K,Kindergarten,1d,"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how)."
CCSS.ELA-LITERACY.L.K.1.e,ELA-LITERACY,L,Language,K,Kindergarten,1e,"Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with)."
CCSS.ELA-LITERACY.L.K.1.f,ELA-LITERACY,L,Language,K,Kindergarten,1f,Produce and expand complete sentences in shared language activities.
CCSS.ELA-LITERACY.L.K.2,ELA-LITERACY,L,Language,K,Kindergarten,2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
CCSS.ELA-LITERACY.L.K.2.a,ELA-LITERACY,L,Language,K,Kindergarten,2a,Capitalize the first word in a sentence and the pronoun I
CCSS.ELA-LITERACY.L.K.2.b,ELA-LITERACY,L,Language,K,Kindergarten,2b,Recognize and name end punctuation.
CCSS.ELA-LITERACY.L.K.2.c,ELA-LITERACY,L,Language,K,Kindergarten,2c,Write a letter or letters for most consonant and short-vowel sounds (phonemes).
CCSS.ELA-LITERACY.L.K.2.d,ELA-LITERACY,L,Language,K,Kindergarten,2d,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships."
CCSS.ELA-LITERACY.L.K.3,ELA-LITERACY,L,Language,K,Kindergarten,3,(Begins in grade 2)
CCSS.ELA-LITERACY.L.K.4,ELA-LITERACY,L,Language,K,Kindergarten,4,Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.
CCSS.ELA-LITERACY.L.K.4.a,ELA-LITERACY,L,Language,K,Kindergarten,4a,"Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck)."
CCSS.ELA-LITERACY.L.K.4.b,ELA-LITERACY,L,Language,K,Kindergarten,4b,"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re, un, pre, -ful, -less) as a clue to the meaning of an unknown word."
CCSS.ELA-LITERACY.L.K.5,ELA-LITERACY,L,Language,K,Kindergarten,5,"With guidance and support from adults, explore word relationships and nuances in word meanings."
CCSS.ELA-LITERACY.L.K.5.a,ELA-LITERACY,L,Language,K,Kindergarten,5a,"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent."
CCSS.ELA-LITERACY.L.K.5.b,ELA-LITERACY,L,Language,K,Kindergarten,5b,Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).
CCSS.ELA-LITERACY.L.K.5.c,ELA-LITERACY,L,Language,K,Kindergarten,5c,"Identify real-life connections between words and their use (e.g., note places at school that are colorful)."
CCSS.ELA-LITERACY.L.K.5.d,ELA-LITERACY,L,Language,K,Kindergarten,5d,"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings."
CCSS.ELA-LITERACY.L.K.6,ELA-LITERACY,L,Language,K,Kindergarten,6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts."
CCSS.ELA-LITERACY.RF.K.1,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,1,Demonstrate understanding of the organization and basic features of print.
CCSS.ELA-LITERACY.RF.K.1.a,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,1a,"Follow words from left to right, top to bottom, and page by page."
CCSS.ELA-LITERACY.RF.K.1.b,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,1b,Recognize that spoken words are represented in written language by specific sequences of letters.
CCSS.ELA-LITERACY.RF.K.1.c,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,1c,Understand that words are separated by spaces in print.
CCSS.ELA-LITERACY.RF.K.1.d,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,1d,Recognize and name all upper- and lowercase letters of the alphabet.
CCSS.ELA-LITERACY.RF.K.2,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,2,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
CCSS.ELA-LITERACY.RF.K.2.a,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,2a,Recognize and produce rhyming words.
CCSS.ELA-LITERACY.RF.K.2.b,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,2b,"Count, pronounce, blend, and segment syllables in spoken words."
CCSS.ELA-LITERACY.RF.K.2.c,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,2c,Blend and segment onsets and rimes of single-syllable spoken words.
CCSS.ELA-LITERACY.RF.K.2.d,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,2d,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words.1 (This does not include CVCs ending with /l/, /r/, or /x/.)"
CCSS.ELA-LITERACY.RF.K.2.e,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,2e,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words."
CCSS.ELA-LITERACY.RF.K.3,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,3,Know and apply grade-level phonics and word analysis skills in decoding words.
CCSS.ELA-LITERACY.RF.K.3.a,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,3a,Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary sound or many of the most frequent sounds for each consonant.
CCSS.ELA-LITERACY.RF.K.3.b,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,3b,Associate the long and short sounds with the common spellings (graphemes) for the five major vowels.
CCSS.ELA-LITERACY.RF.K.3.c,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,3c,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does)."
CCSS.ELA-LITERACY.RF.K.3.d,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,3d,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.
